name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated,roi_times,roi_currency,roi_percentage,ath_year,ath_month,ath_day
36,97781.0,1942716505416,1,1942719935467,49896178474.0,98098.0,94120.0,1958.9,2.0443,44123239556.0,2.324,19823346.0,19823381.0,21000000.0,108786.0,-9.89036,1737364314494000000,67.81,144462.30123,1373068800000000000,1739400385542000000,7.30213639486036,3,730.213639486036,2025,1,20
73,2765.4,334591411004,2,334591411004,24003735259.0,2782.27,2565.92,157.35,6.03309,20257632728.0,6.44462,120543070.6736782,120543070.6736782,1000000000.0,4878.26,-43.00585,1636554259604000000,0.432979,642038.32244,1445299200000000000,1739400387157000000,36.79377565795439,0,3679.3775657954393,2021,11,10
232,2.48,143481543884,3,248365405217,4822053983.0,2.49,2.36,0.050957,2.09837,3556254140.0,2.54154,57762545657.0,99986504676.0,100000000000.0,3.4,-26.84901,1515283200000000000,0.00268621,92446.85051,1400716800000000000,1739400384178000000,7.30213639486036,3,730.213639486036,2018,1,7
199,0.999995,141952534193,4,141952534193,46327356558.0,1.0,0.999643,0.00015608,0.01561,96366394.0,0.06793,141953250507.8432,141953250507.8432,1000000000.0,1.32,-24.41645,1532390400000000000,0.572521,74.67348,1425254400000000000,1739400387904000000,7.30213639486036,3,730.213639486036,2018,7,24
25,700.95,102259685465,5,102259685465,2390417337.0,703.18,627.79,58.58,9.1198,8578463228.0,9.15708,145887575.79,145887575.79,200000000.0,788.84,-10.86365,1733308525220000000,0.0398177,1765814.27166,1508371200000000000,1739400384704000000,7.30213639486036,3,730.213639486036,2024,12,4
179,197.25,96776912844,6,117740458809,4912896612.0,198.34,190.01,-0.9526327441693354,-0.48063,239646120.0,0.24824,488177881.5117716,593925617.8001201,1000000000.0,293.31,-32.42519,1737285327957000000,0.500801,39477.58375,1589225723449000000,1739400385738000000,7.30213639486036,3,730.213639486036,2025,1,19
212,0.999902,56066118745,7,56066442473,5831698157.0,1.0,0.999848,1.71e-06,0.00017,-34332760.12573242,-0.0612,56071595009.84862,56071918768.62053,1000000000.0,1.17,-14.7327,1557276028300000000,0.877647,13.93365,1678521733981000000,1739400388492000000,7.30213639486036,3,730.213639486036,2019,5,8
66,0.265553,39373544361,8,39387394562,1876049736.0,0.266692,0.249699,0.01152428,4.5366,1859408547.0,4.95655,147968466383.7052,148020516383.7051,1000000000.0,0.731578,-63.56956,1620450503458000000,8.69e-05,306580.79828,1430870400000000000,1739400386782000000,7.30213639486036,3,730.213639486036,2021,5,8
47,0.8014,28784873121,9,36063098619,1203448596.0,0.805788,0.755641,0.01743807,2.22435,654676159.0,2.32731,35918136268.48197,45000000000.0,45000000000.0,3.09,-73.89929,1630562410474000000,0.01925275,4084.88638,1584066175044000000,1739400390616000000,7.30213639486036,3,730.213639486036,2021,9,2
116,2768.08,26085889543,10,26086357468,161339028.0,2781.03,2565.99,157.77,6.04396,1573572790.0,6.41952,9395077.099640151,9395245.627119929,1000000000.0,4829.57,-42.42691,1636555247256000000,482.9,475.80344,1608610101854000000,1739400384818000000,7.30213639486036,3,730.213639486036,2021,11,10
196,0.243582,20972532426,11,20972546200,868481974.0,0.245698,0.236015,0.0014812,0.61181,122910156.0,0.58951,86100453669.73969,86100510217.38632,1000000000.0,0.431288,-43.37564,1733271040323000000,0.00180434,13434.81322,1510444800000000000,1739400386787000000,127.20112427285721,2,12720.112427285721,2024,12,4
228,97580.0,12635043340,12,12635043340,921311736.0,98094.0,94405.0,1820.31,1.90091,302752200.0,2.45496,129138.42002211,129138.42002211,129138.42002211,108368.0,-9.67983,1737357387137000000,3139.17,3017.95594,1554163200000000000,1739400388948000000,7.30213639486036,3,730.213639486036,2025,1,20
49,19.3,12315934312,13,19300947943,754747529.0,19.4,17.83,0.565531,3.01851,356191919.0,2.97826,638099970.4505637,1000000000.0,1000000000.0,52.7,-63.21167,1620605637214000000,0.148183,12982.58773,1511913600000000000,1739400385744000000,7.30213639486036,3,730.213639486036,2021,5,10
190,3.63,11224259592,14,36327907097,1789556126.0,3.65,3.12,0.302582,9.08733,925898682.0,8.99074,3089707194.508888,10000000000.0,10000000000.0,5.35,-31.74674,1736031378063000000,0.364846,900.20375,1697712030078000000,1739400386534000000,7.30213639486036,3,730.213639486036,2025,1,4
20,26.83,11117303037,15,12151910250,463489716.0,26.98,24.59,1.48,5.82604,665012180.0,6.36236,411940179.2238334,450276480.6835007,720000000.0,144.96,-81.38492,1637504336538000000,2.8,863.37096,1609420521540000000,1739400383129000000,7.30213639486036,3,730.213639486036,2021,11,21
230,3319.44,10972111011,16,10972111011,83276409.0,3319.31,3061.99,207.47,6.66696,524489162.0,5.02018,3342835.45705282,3342835.45705282,1000000000.0,7256.02,-54.74253,1652454594509000000,558.54,487.94191,1652405805053000000,1739400388800000000,7.30213639486036,3,730.213639486036,2022,5,13
189,0.334363,10254448617,17,16743780565,332068162.0,0.335016,0.311326,0.01336676,4.16415,452777393.0,4.61939,30622758850.35479,50001786894.45016,50001786894.45016,0.875563,-61.73704,1514937600000000000,0.00047612,70263.34815,1425513600000000000,1739400386099000000,7.30213639486036,3,730.213639486036,2018,1,3
177,1.719e-05,10161534074,18,10165903233,429951801.0,1.728e-05,1.552e-05,1.49e-06,9.46961,908471866.0,9.81807,589253898412081.8,589507260155307.8,1000000000.0,8.616e-05,-79.99415,1635393295568000000,5.6366e-11,30579829.15512,1606562785838000000,1739400384738000000,7.30213639486036,3,730.213639486036,2021,10,28
208,3.8,9513827326,19,19538494622,182009190.0,3.82,3.63,0.054041,1.44276,158030179.0,1.68912,2494118593.745965,5122157577.541907,1000000000.0,8.25,-53.75046,1718411811509000000,0.519364,634.98678,1632184391092000000,1739400386876000000,7.30213639486036,3,730.213639486036,2024,6,15
118,123.83,9372410645,20,9372504493,1392658995.0,124.36,112.24,3.15,2.61231,294977979.0,3.24957,75525176.98347135,75525933.23347135,84000000.0,410.26,-69.74988,1620616387904000000,1.15,10702.53235,1421193600000000000,1739400390500000000,7.30213639486036,3,730.213639486036,2021,5,10
113,9.79,9069993400,21,9669691367,693884.0,9.94,9.74,-0.0128600955819777,-0.13112,5515683.0,0.06085,924136609.9,985239504.0,1000000000.0,9.95,-1.26094,1739141142188000000,0.799859,1127.68651,1577200475376000000,1739400389987000000,7.30213639486036,3,730.213639486036,2025,2,9
91,0.235334,9006764237,22,11768156753,359394594.0,0.236183,0.215827,0.00632972,2.76402,228869840.0,2.60734,38267523224.49103,50000000000.0,50000000000.0,0.569229,-58.50443,1631702428318000000,0.00986111,2295.31652,1577986224852000000,1739400389196000000,7.30213639486036,3,730.213639486036,2021,9,15
214,0.999528,8526914971,23,8526914971,19679726.0,1.006,0.996032,-0.0003018296644903,-0.03019,107441337.0,1.27611,8523912437.702795,8523912437.702795,1000000000.0,1.057,-5.38021,1730180451197000000,0.948265,5.50172,1727961568826000000,1739400389776000000,7.30213639486036,3,730.213639486036,2024,10,29
94,25.35,8474781829,24,25378811679,163918622.0,25.41,22.77,1.85,7.89485,644587630.0,8.23208,333928180.0,999990391.0,1000000000.0,34.96,-27.71255,1734839760276000000,3.81,563.50546,1732872630871000000,1739400389285000000,7.30213639486036,3,730.213639486036,2024,12,22
223,2770.58,8225227564,25,8225227564,1182969365.0,2788.24,2573.8,162.63,6.23581,497628566.0,6.43963,2962660.65795653,2962660.65795653,1000000000.0,4799.89,-41.92195,1636416000000000000,82.1,3295.33293,1544832000000000000,1739400388958000000,7.30213639486036,3,730.213639486036,2021,11,9
156,5.27,8045451533,26,8045451533,429282163.0,5.3,4.79,0.449757,9.33851,694850305.0,9.45297,1522267060.0,1522267060.0,1000000000.0,54.98,-90.38671,1636035009301000000,2.7,95.94298,1597902491359000000,1739400384149000000,7.30213639486036,3,730.213639486036,2021,11,4
39,6.05,7237384354,27,7237384354,386797732.0,6.36,5.75,-0.3118680458644043,-4.90253,-380715251.8118973,-4.99751,1199999994.2,1199999994.2,2000000000.0,8.45,-28.66652,1735299684992000000,0.0142795,42113.72625,1593058625895000000,1739400383758000000,7.30213639486036,3,730.213639486036,2024,12,27
