Document,Entity,Category
Regulation Guide,thailand,GPE
Regulation Guide,august,DATE
Regulation Guide,thailand,GPE
Regulation Guide,thailand,GPE
Regulation Guide,the past year,DATE
Regulation Guide,sec,ORG
Regulation Guide,thailand,GPE
Regulation Guide,thailand,GPE
Regulation Guide,thailand,GPE
Regulation Guide,baker mckenzie,PERSON
Regulation Guide,thailand,GPE
Regulation Guide,thailand,GPE
Regulation Guide,thai,NORP
Regulation Guide,the securities and exchange act,ORG
Regulation Guide,the securities and exchange,ORG
Regulation Guide,thailand,GPE
Regulation Guide,thailand,GPE
Regulation Guide,thailand,GPE
Regulation Guide,thai,NORP
Regulation Guide,two,CARDINAL
Regulation Guide,sec,ORG
Regulation Guide,sec,ORG
Regulation Guide,two,CARDINAL
Regulation Guide,thailand,GPE
Regulation Guide,two,CARDINAL
Regulation Guide,"the public 
 
",ORG
Regulation Guide,thailand,GPE
Regulation Guide,sec,ORG
Regulation Guide,sec,ORG
Regulation Guide,the thai revenue department,ORG
Regulation Guide,august,DATE
Regulation Guide,january,DATE
Regulation Guide,sec,ORG
Regulation Guide,sec,ORG
Regulation Guide,two,CARDINAL
Regulation Guide,thailand,GPE
Regulation Guide,sec,ORG
Regulation Guide,a month,DATE
Regulation Guide,a month,DATE
Regulation Guide,sec,ORG
Regulation Guide,sec,ORG
Regulation Guide,thailand,GPE
Regulation Guide,less than  percent,PERCENT
Regulation Guide,at least two,CARDINAL
Regulation Guide,sec,ORG
Regulation Guide,at least  percent,PERCENT
Regulation Guide,"at least  
percent",PERCENT
Regulation Guide,thailand,GPE
Regulation Guide,june,DATE
Regulation Guide,august,DATE
Regulation Guide,sec,ORG
Regulation Guide,sec,ORG
Regulation Guide,sec,ORG
Regulation Guide,sec,ORG
Regulation Guide,sec,ORG
Regulation Guide,august,DATE
Regulation Guide,sec,ORG
Regulation Guide,seven,CARDINAL
Regulation Guide,thailand,GPE
Regulation Guide,thailand,GPE
Regulation Guide,sec,ORG
Regulation Guide,sec,ORG
Regulation Guide,thailand,GPE
Regulation Guide,sec,ORG
Regulation Guide,sec,ORG
Regulation Guide,sec,ORG
Regulation Guide,sec,ORG
Regulation Guide,sec,ORG
Regulation Guide,july,DATE
Regulation Guide,the ministry of finance,ORG
Regulation Guide,one,CARDINAL
Regulation Guide,thailand,GPE
Regulation Guide,one,CARDINAL
Regulation Guide,sec,ORG
Regulation Guide,june,DATE
Regulation Guide,sec,ORG
Regulation Guide,sec,ORG
