Nom,Prix,Changement 24h,Market Cap,Volume 24h,Supply
1,"Bitcoin
BTC","$ 94,945",N/A,$ 1.88T,$ 16.49B
2,"Ethereum
ETH","$ 2,654",N/A,$ 319.32B,$ 10.05B
3,"XRP
XRP",$ 2.54,N/A,$ 146.25B,$ 3.16B
4,"Tether
USDT",$ 0.999,N/A,$ 141.69B,$ 41.76B
5,"BNB
BNB",$ 643.27,N/A,$ 93.77B,$ 699.32M
6,"Solana
SOL",$ 167.67,N/A,$ 81.74B,$ 4.54B
7,"USDC
USDC",$ 1.00,N/A,$ 56.50B,$ 5.90B
8,"Dogecoin
DOGE",$ 0.249,N/A,$ 36.75B,$ 1.05B
9,"Cardano
ADA",$ 0.745,N/A,$ 26.78B,$ 531.94M
10,"Lido Staked Ether
stETH","$ 2,651",N/A,$ 24.88B,$ 40.17M
,"TRON
TRX",$ 0.236,,,
,"Wrapped Bitcoin
WBTC","$ 94,611",,,
,"ChainLink
LINK",$ 17.64,,,
,"Stellar
XLM",$ 0.321,,,
,"Litecoin
LTC",$ 128.18,,,
,"Avalanche
AVAX",$ 23.28,,,
,"Sui
SUI",$ 3.02,,,
,"Toncoin
TON",$ 3.65,,,
,"SHIBA INU
SHIB",$ 0.0000152,,,
,"Hedera
HBAR",$ 0.204,,,
,"Hyperliquid
HYPE",$ 23.43,,,
,"MANTRA
OM",$ 7.43,,,
,"Polkadot
DOT",$ 4.72,,,
,"Bitcoin Cash
BCH",$ 314.63,,,
,"Ethena USDe
USDe",$ 0.998,,,
,"Uniswap
UNI",$ 9.44,,,
,"Bitget Token
BGB",$ 4.70,,,
,"Wrapped eETH
weETH","$ 2,807",,,
,"Monero
XMR",$ 234.65,,,
,"Pepe
PEPE",$ 0.00...092,,,
,"Aave
AAVE",$ 249.69,,,
,"Ondo Finance
ONDO",$ 1.17,,,
,"Near Protocol
NEAR",$ 3.10,,,
,"Mantle
MNT",$ 1.05,,,
,"Dai
DAI",$ 1.00,,,
,"OFFICIAL TRUMP
TRUMP",$ 16.41,,,
,"Aptos
APT",$ 5.58,,,
,"Internet Computer
ICP",$ 6.69,,,
,"Bittensor
TAO",$ 377.88,,,
,"Ethereum Classic
ETC",$ 19.93,,,
,"OKB
OKB",$ 49.27,,,
,"GateToken
GT",$ 22.23,,,
,"Kaspa
KAS",$ 0.100,,,
,"POL (ex-MATIC)
POL",$ 0.299,,,
,"VeChain
VET",$ 0.0314,,,
,"Cronos
CRO",$ 0.0841,,,
,"Render
RENDER",$ 4.12,,,
,"Algorand
ALGO",$ 0.254,,,
,"First Digital USD
FDUSD",$ 0.998,,,
,"Filecoin
FIL",$ 3.21,,,
,"Arbitrum
ARB",$ 0.455,,,
,"Cosmos Hub
ATOM",$ 4.53,,,
,"Jupiter
JUP",$ 0.716,,,
,"Artificial Superintelligence Alliance
FET",$ 0.723,,,
,"Sonic
S",$ 0.587,,,
,"Optimism
OP",$ 1.08,,,
,"Fasttoken
FTN",$ 3.95,,,
,"Fantom
FTM",$ 0.582,,,
,"Celestia
TIA",$ 2.98,,,
,"Lido
LDO",$ 1.74,,,
,"KuCoin Token
KCS",$ 12.02,,,
,"XDC Network
XDC",$ 0.0893,,,
,"Quant
QNT",$ 93.74,,,
,"Injective
INJ",$ 13.75,,,
,"Nexo
NEXO",$ 1.33,,,
,"Ethena
ENA",$ 0.421,,,
,"Stacks
STX",$ 0.863,,,
,"Immutable
IMX",$ 0.733,,,
,"The Graph
GRT",$ 0.131,,,
,"Theta Network
THETA",$ 1.25,,,
,"Movement
MOVE",$ 0.510,,,
,"Raydium
RAY",$ 4.20,,,
,"Bonk
BONK",$ 0.0000153,,,
,"Flare
FLR",$ 0.0199,,,
,"World Network
WLD",$ 1.12,,,
,"DeXe
DEXE",$ 18.25,,,
,"Sei
SEI",$ 0.220,,,
,"Jasmy
JASMY",$ 0.0209,,,
,"Gala
GALA",$ 0.0216,,,
,"EOS
EOS",$ 0.608,,,
,"Maker
MKR","$ 1,098",,,
,"Telcoin
TEL",$ 0.0101,,,
,"FLOKI
FLOKI",$ 0.0000915,,,
,"Tezos
XTZ",$ 0.847,,,
,"The Sandbox
SAND",$ 0.357,,,
,"Ethereum Name Service
ENS",$ 25.90,,,
,"Marinade Staked SOL
mSOL",$ 211.37,,,
,"BitTorrent (new)
BTT",$ 0.00...839,,,
,"IOTA
IOTA",$ 0.215,,,
,"Flow
FLOW",$ 0.498,,,
,"Jito Labs
JTO",$ 2.61,,,
,"Pyth Network
PYTH",$ 0.210,,,
,"Ronin
RON",$ 1.22,,,
,"Bitcoin SV
BSV",$ 37.25,,,
,"NEO
NEO",$ 10.44,,,
,"PancakeSwap
CAKE",$ 2.52,,,
,"Tether Gold
XAUT","$ 2,928",,,
,"Kaia
KAIA",$ 0.122,,,
,"Onyxcoin
XCN",$ 0.021,,,
,"PayPal USD
PYUSD",$ 1.00,,,
