slug,quote,status,num_market_pairs,market_share,last_updated,type,id,name
raydium,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:48:14.000Z', 'volume_24h': 1791241365.1908257, 'percent_change_volume_24h': 12.0804966, 'num_transactions_24h': 16555402}",active,1877,0.17070435,2025-02-18T22:48:14.000Z,swap,1342,Raydium
uniswap-v3,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:48:14.000Z', 'volume_24h': 1388918971.827218, 'percent_change_volume_24h': 5.30630535, 'num_transactions_24h': 143050}",active,952,0.13236324,2025-02-18T22:48:14.000Z,swap,1348,Uniswap v3 (Ethereum)
pancakeswap-v2,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:48:15.000Z', 'volume_24h': 1128482966.287839, 'percent_change_volume_24h': 1.14226489, 'num_transactions_24h': 890776}",active,2125,0.10754383,2025-02-18T22:48:15.000Z,swap,1344,PancakeSwap v2 (BSC)
pancakeswap-v3,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:48:28.000Z', 'volume_24h': 728686723.3060498, 'percent_change_volume_24h': 12.55657087, 'num_transactions_24h': 773966}",active,763,0.06944346,2025-02-18T22:48:28.000Z,,6706,PancakeSwap v3 (BSC)
meteora-vd,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:48:14.000Z', 'volume_24h': 702657479.0597562, 'percent_change_volume_24h': 21.62949954, 'num_transactions_24h': 1034648}",active,1382,0.06696289,2025-02-18T22:48:14.000Z,,9882,Meteora VD
orca,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:48:13.000Z', 'volume_24h': 693288718.0234904, 'percent_change_volume_24h': 4.95962201, 'num_transactions_24h': 1164087}",active,1065,0.06607005,2025-02-18T22:48:13.000Z,,1426,Orca
aerodrome-slipstream,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:48:14.000Z', 'volume_24h': 647564715.7869868, 'percent_change_volume_24h': -5.79062045, 'num_transactions_24h': 204277}",active,72,0.06171257,2025-02-18T22:48:14.000Z,,10023,Aerodrome SlipStream
raydium-clmm,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:48:14.000Z', 'volume_24h': 552048453.84648, 'percent_change_volume_24h': 25.89456996, 'num_transactions_24h': 1559083}",active,659,0.05260993,2025-02-18T22:48:14.000Z,,10557,Raydium (CLMM)
uniswap-v3-arbitrum,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:48:14.000Z', 'volume_24h': 391571912.94674873, 'percent_change_volume_24h': 0.92604735, 'num_transactions_24h': 277733}",active,285,0.0373166,2025-02-18T22:48:14.000Z,,1478,Uniswap v3 (Arbitrum)
curve-finance,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:48:14.000Z', 'volume_24h': 273473188.1776279, 'percent_change_volume_24h': 64.71815723, 'num_transactions_24h': 9507}",active,148,0.02606185,2025-02-18T22:48:14.000Z,swap,1063,Curve (Ethereum)
uniswap-v3-base,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:48:13.000Z', 'volume_24h': 224548932.1785387, 'percent_change_volume_24h': -9.47021084, 'num_transactions_24h': 466405}",active,512,0.02139939,2025-02-18T22:48:13.000Z,,7791,Uniswap v3 (Base)
1-0xe64608e223433e8a03a1daaefd8cb638c14b552c,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2022-11-08T08:15:00.000Z', 'volume_24h': 206749652.92770037, 'percent_change_volume_24h': 0, 'num_transactions_24h': 0}",inactive,0,0.01970313,2022-11-08T08:15:00.000Z,,5112,1:0xe64608e223433e8a03a1daaefd8cb638c14b552c(deprecated)
uniswap-v2,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:48:14.000Z', 'volume_24h': 177491943.26694924, 'percent_change_volume_24h': -21.45478565, 'num_transactions_24h': 121301}",active,1562,0.01691489,2025-02-18T22:48:14.000Z,swap,1069,Uniswap v2
thena-v2,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:48:13.000Z', 'volume_24h': 142459612.69006142, 'percent_change_volume_24h': 24.3927809, 'num_transactions_24h': 27596}",active,71,0.01357633,2025-02-18T22:48:13.000Z,swap,6407,THENA FUSION
uniswap-v2-base,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:48:14.000Z', 'volume_24h': 107880128.54301676, 'percent_change_volume_24h': 68.5244701, 'num_transactions_24h': 627282}",active,328,0.01028092,2025-02-18T22:48:14.000Z,swap,9391,Uniswap v2 (Base)
cetus,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:48:28.000Z', 'volume_24h': 107261127.08549526, 'percent_change_volume_24h': 20.18740553, 'num_transactions_24h': 295427}",active,152,0.01022193,2025-02-18T22:48:28.000Z,,6993,Cetus
camelot-v3,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:48:13.000Z', 'volume_24h': 105293111.97464253, 'percent_change_volume_24h': 12.51258553, 'num_transactions_24h': 107079}",active,92,0.01003438,2025-02-18T22:48:13.000Z,,7475,Camelot v3
uniswap-v2-unichain,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:45:00.000Z', 'volume_24h': 92367028.8584094, 'percent_change_volume_24h': 0, 'num_transactions_24h': 44450}",active,0,0.00880253,2025-02-18T22:45:00.000Z,,11830,Uniswap v2(Unichain)
pancakeswapv3-base,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:48:14.000Z', 'volume_24h': 89860006.29814318, 'percent_change_volume_24h': 4.54858979, 'num_transactions_24h': 265991}",active,62,0.00856361,2025-02-18T22:48:14.000Z,,8181,Pancakeswap v3 (Base)
meteora-vp,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:48:14.000Z', 'volume_24h': 83318304.33625668, 'percent_change_volume_24h': 350.74377609, 'num_transactions_24h': 237814}",active,525,0.00794019,2025-02-18T22:48:14.000Z,,9883,Meteora VP
uniswap-bsc,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:48:14.000Z', 'volume_24h': 79577607.43168782, 'percent_change_volume_24h': 28.28935725, 'num_transactions_24h': 117142}",active,196,0.0075837,2025-02-18T22:48:14.000Z,,6444,Uniswap v3 (BSC)
uniswap-v3-polygon,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:48:14.000Z', 'volume_24h': 73605592.80940439, 'percent_change_volume_24h': 12.67052129, 'num_transactions_24h': 269600}",active,336,0.00701457,2025-02-18T22:48:14.000Z,Swap,1567,Uniswap v3 (Polygon)
47-tthjt8zajzjmhcesch7zwknp5buvzqys9x,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:40:00.000Z', 'volume_24h': 71857666.1923639, 'percent_change_volume_24h': -25.24725275, 'num_transactions_24h': 6678}",active,0,0.006848,2025-02-18T22:40:00.000Z,,7520,SunSwap V3
pancake-v3-arbitrum,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:48:14.000Z', 'volume_24h': 70811968.64562751, 'percent_change_volume_24h': 17.36309989, 'num_transactions_24h': 176433}",active,61,0.00674834,2025-02-18T22:48:14.000Z,swap,7930,PancakeSwap v3 (Arbitrum)
trader-joe-v2-1-avalanche,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:48:28.000Z', 'volume_24h': 49459837.94519117, 'percent_change_volume_24h': 3.14754503, 'num_transactions_24h': 10778}",active,23,0.0047135,2025-02-18T22:48:28.000Z,,6800,LFJ v2.1 (Avalanche)
bex-bera,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:48:14.000Z', 'volume_24h': 47759057.81161135, 'percent_change_volume_24h': 20.36070856, 'num_transactions_24h': 50220}",active,1,0.00455141,2025-02-18T22:48:14.000Z,,11805,Bex (Bera)
pharaoh-exchange,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:48:14.000Z', 'volume_24h': 41067959.72258827, 'percent_change_volume_24h': 20.17857486, 'num_transactions_24h': 25111}",active,30,0.00391375,2025-02-18T22:48:14.000Z,,8989,Pharaoh Exchange
trader-joe-v2-2-avalanche,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:48:14.000Z', 'volume_24h': 36751857.2306712, 'percent_change_volume_24h': 60.71896021, 'num_transactions_24h': 36328}",active,42,0.00350243,2025-02-18T22:48:14.000Z,,10348,LFJ v2.2 (Avalanche)
whirlbmiicvdio4qvufm5kag6ct8vwpyzgff3uctycc,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2023-03-29T08:05:00.000Z', 'volume_24h': 35584005.8656867, 'percent_change_volume_24h': 0, 'num_transactions_24h': 99031}",inactive,0,0.00339114,2023-03-29T08:05:00.000Z,,6434,16:whirlbmiicvdio4qvufm5kag6ct8vwpyzgff3uctycc
balancer-v2,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:48:14.000Z', 'volume_24h': 31842971.73570936, 'percent_change_volume_24h': -44.54606167, 'num_transactions_24h': 2425}",active,79,0.00303462,2025-02-18T22:48:14.000Z,,1404,Balancer v2 (Ethereum)
raydium-cpmm,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:48:13.000Z', 'volume_24h': 27197641.79370783, 'percent_change_volume_24h': -82.08544426, 'num_transactions_24h': 439523}",active,275,0.00259192,2025-02-18T22:48:13.000Z,,10403,Raydium (CPMM)
sushiswap-v3-base,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:48:14.000Z', 'volume_24h': 26728430.25110745, 'percent_change_volume_24h': -6.34983109, 'num_transactions_24h': 65266}",active,38,0.00254721,2025-02-18T22:48:14.000Z,,7806,SushiSwap v3 (Base)
pancakeswap-v3-eth,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:48:14.000Z', 'volume_24h': 26473029.05142325, 'percent_change_volume_24h': -18.4848228, 'num_transactions_24h': 5429}",active,41,0.00252287,2025-02-18T22:48:14.000Z,,6707,PancakeSwap v3 (Ethereum)
aerodrome-finance,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:48:14.000Z', 'volume_24h': 25889267.31554676, 'percent_change_volume_24h': 10.97524539, 'num_transactions_24h': 230936}",active,243,0.00246723,2025-02-18T22:48:14.000Z,,8521,Aerodrome Finance
wagmi-sonic,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:48:13.000Z', 'volume_24h': 24594847.059324, 'percent_change_volume_24h': 30.18574274, 'num_transactions_24h': 28920}",active,14,0.00234388,2025-02-18T22:48:13.000Z,,11545,Wagmi (Sonic)
uniswap-v3-optimism,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:48:13.000Z', 'volume_24h': 22925948.33274612, 'percent_change_volume_24h': -5.50224366, 'num_transactions_24h': 95336}",active,105,0.00218483,2025-02-18T22:48:13.000Z,,1419,Uniswap v3 (Optimism)
quickswap-v3,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:48:14.000Z', 'volume_24h': 22029658.58851828, 'percent_change_volume_24h': -12.45187821, 'num_transactions_24h': 74466}",active,129,0.00209941,2025-02-18T22:48:14.000Z,swap,4098,QuickSwap v3 (Polygon)
fstswap,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:48:13.000Z', 'volume_24h': 21496016.32634226, 'percent_change_volume_24h': 335.49886317, 'num_transactions_24h': 71857}",active,5,0.00204856,2025-02-18T22:48:13.000Z,,1685,Fstswap
kodiak-v3,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:48:13.000Z', 'volume_24h': 20256666.35443214, 'percent_change_volume_24h': 21.86642311, 'num_transactions_24h': 91744}",active,2,0.00193045,2025-02-18T22:48:13.000Z,,11747,Kodiak v3
osmosis,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:48:14.000Z', 'volume_24h': 19764249.35614657, 'percent_change_volume_24h': 24.23394559, 'num_transactions_24h': 170812}",active,312,0.00188352,2025-02-18T22:48:14.000Z,,1447,Osmosis
uniswap-v3-avalanche,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:48:14.000Z', 'volume_24h': 17178175.94555089, 'percent_change_volume_24h': 6.29874079, 'num_transactions_24h': 28415}",active,47,0.00163707,2025-02-18T22:48:14.000Z,swap,7504,Uniswap v3 (Avalanche)
sushiswap-v3-arbitrum,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:48:14.000Z', 'volume_24h': 14839143.17245398, 'percent_change_volume_24h': 10.96168606, 'num_transactions_24h': 20063}",active,20,0.00141416,2025-02-18T22:48:14.000Z,,6713,Sushiswap v3 (Arbitrum)
merchant-moe-mantle,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:48:13.000Z', 'volume_24h': 14494505.03921485, 'percent_change_volume_24h': -1.19337139, 'num_transactions_24h': 21304}",active,36,0.00138132,2025-02-18T22:48:13.000Z,,9782,Merchant Moe v2.2 (Mantle)
splash,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:48:15.000Z', 'volume_24h': 14133844.78445949, 'percent_change_volume_24h': -0.9072076, 'num_transactions_24h': 488}",active,9,0.00134695,2025-02-18T22:48:15.000Z,,11618,Splash
uniswap-celo,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:48:13.000Z', 'volume_24h': 13952089.58478876, 'percent_change_volume_24h': 7.54402683, 'num_transactions_24h': 87822}",active,32,0.00132963,2025-02-18T22:48:13.000Z,,1790,Uniswap v3 (Celo)
0xafd89d21bdb66d00817d4153e055830b1c2b3970,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2023-03-29T08:05:00.000Z', 'volume_24h': 12509548.04788797, 'percent_change_volume_24h': 0, 'num_transactions_24h': 8901}",inactive,0,0.00119215,2023-03-29T08:05:00.000Z,,6068,14:0xafd89d21bdb66d00817d4153e055830b1c2b3970
quickswap,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:48:13.000Z', 'volume_24h': 11857200.2096158, 'percent_change_volume_24h': 4.50836799, 'num_transactions_24h': 149121}",active,370,0.00112998,2025-02-18T22:48:13.000Z,swap,1293,QuickSwap
pulsex,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:48:14.000Z', 'volume_24h': 11694813.98039157, 'percent_change_volume_24h': -50.52867988, 'num_transactions_24h': 56323}",active,35,0.00111451,2025-02-18T22:48:14.000Z,,7126,PulseX
pulsex-v2,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:48:15.000Z', 'volume_24h': 10360388.1882603, 'percent_change_volume_24h': -39.60666002, 'num_transactions_24h': 176089}",active,35,0.00098734,2025-02-18T22:48:15.000Z,,7342,PulseX v2
pharaoh-exchange-v1,"{'convert_id': '2781', 'market_type': 'spot', 'last_updated': '2025-02-18T22:48:14.000Z', 'volume_24h': 10307162.88923145, 'percent_change_volume_24h': 237.43196719, 'num_transactions_24h': 12018}",active,4,0.00098227,2025-02-18T22:48:14.000Z,,11804,Pharaoh Exchange v1
