network_slug,id,name
Abstract Chain,247,Abstract Chain
Unichain,246,Unichain
Story,245,Story
Bera Chain,241,Bera Chain
Soneium,239,Soneium
DuckChain,238,DuckChain
Sonic,237,Sonic
ONUS,235,ONUS
ApeChain,234,ApeChain
World Chain Mainnet,233,World Chain Mainnet
Chiliz Chain,232,Chiliz Chain
Cronos zkEVM Mainnet,231,Cronos zkEVM Mainnet
IOTA EVM,229,IOTA EVM
Sei v2,226,Sei v2
Taiko,225,Taiko
BounceBit,224,BounceBit
Haqq,223,Haqq
Shido Network,222,Shido Network
Venom,221,Venom
Saakuru,220,Saakuru
Mode,218,Mode
B² Network,217,B² Network
X Layer,216,X Layer
Degen Chain,215,Degen Chain
RSS VSL,214,RSS3 VSL
Merlin Chain,212,Merlin
Zeta,211,Zeta
Blast,210,Blast
Beam,209,Beam
ZKFair,208,ZKFair
Scroll,205,Scroll
Manta Pacific,204,Manta Pacific
Shibarium,201,Shibarium
opBNB,200,opBNB
Base,199,Base
Linea,198,Linea
Neon EVM,197,Neon EVM
Mantle,195,Mantle
Starknet,194,Starknet
PulseChain,189,PulseChain
Sei Network,188,Sei Network
EOS EVM,186,EOS EVM
Polygon zkEVM,185,Polygon zkEVM
MAP Protocol,184,MAP
zkSync,183,zkSync Era
Core,181,Core
Injective,179,Injective
Sui Network,176,Sui Network
,174,Flare Network
