title,content,time,trading_pair_or_currencies,price_change,cleaned_content,hash
"Toncoin holders at loss hit 96%, but is a whale-led recovery on the way?","Toncoin holders at a loss soars to 96%, but whales refuse to sell.
Publish Date: 2025-03-09T11:30:49Z
Currencies: None",2025-03-09,None,N/A,"Toncoin holders at a loss soars to 96, but whales refuse to sell. Publish Date 20250309T113049Z Currencies None",495ff836b1638fd3c81ee6348d2ac5d0
Solana (SOL) Futures Market Hints at More Losses Below $130,"Solana’s price has faced significant volatility over the past week due to recent market troubles. This has led to a sharp decline in its futures market sentiment as leveraged traders appear reluctant to take bullish positions.  This lack of confidence increases the risk of a further price drop, with SOL eyeing a dip below the $130 level in the near term. Solana Struggles as Traders Exit SOL’s...
Publish Date: 2025-03-09T11:00:00Z
Currencies: None",2025-03-09,None,N/A,"Solanas price has faced significant volatility over the past week due to recent market troubles. This has led to a sharp decline in its futures market sentiment as leveraged traders appear reluctant to take bullish positions. This lack of confidence increases the risk of a further price drop, with SOL eyeing a dip below the 130 level in the near term. Solana Struggles as Traders Exit SOLs... Publish Date 20250309T110000Z Currencies None",2eb90fee1a79109dc58ab15f9c79de75
Will AAVE Crypto Recover From  Broadening Bottom Pattern,"AAVE crypto dropped sharply after President Donald Trump signed an executive order on March 7. The order launched a Strategic Bitcoin Reserve and a Digital Asset Stockpile aimed at managing digital currencies. AAVE price dropped, reflecting the broader market downturn. Trump’s Executive Order Impacts the Crypto Market Trump’s order created a government-controlled reserve of digital […] The...
Publish Date: 2025-03-09T10:47:00Z
Currencies: None",2025-03-09,None,N/A,"AAVE crypto dropped sharply after President Donald Trump signed an executive order on March 7. The order launched a Strategic Bitcoin Reserve and a Digital Asset Stockpile aimed at managing digital currencies. AAVE price dropped, reflecting the broader market downturn. Trumps Executive Order Impacts the Crypto Market Trumps order created a governmentcontrolled reserve of digital  The... Publish Date 20250309T104700Z Currencies None",d093083445bbaeda1335190c5145b4b8
"Coinbase Adds AI Altcoin and DeFi Token to Listing Roadmap, Triggering Price Jumps","An artificial intelligence (AI)-based altcoin and a decentralized finance (DeFi) token have soared in price after being added to Coinbase’s listing roadmap. In a post on the social media platform X, Coinbase Assets announces the additions of AI-focused project Aethir (ATH) and DeFi protocol Maple Finance (SYRUP) to its listing roadmap, causing the digital assets […] The post Coinbase Adds AI...
Publish Date: 2025-03-09T10:15:01Z
Currencies: ETH, ATH, SYRUP, ATH",2025-03-09,"ETH, ATH, SYRUP, ATH",N/A,"An artificial intelligence AIbased altcoin and a decentralized finance DeFi token have soared in price after being added to Coinbases listing roadmap. In a post on the social media platform X, Coinbase Assets announces the additions of AIfocused project Aethir ATH and DeFi protocol Maple Finance SYRUP to its listing roadmap, causing the digital assets  The post Coinbase Adds AI... Publish Date 20250309T101501Z Currencies ETH, ATH, SYRUP, ATH",acce741ead5405621501a8eb7e965d25
Arkham’s New Feature Can Trouble Crypto Influencers and Celebrity Meme Coins,"Arkham Intelligence has unveiled a new feature allowing users to track the wallets of Key Opinion Leaders (KOLs) on X (formerly Twitter). This development comes amid a flurry of new meme coins, capitalizing on token launchpads for easy launches. New Arkham Feature Lets Users Track Influencers’ Token Holdings The update, announced in a recent post, introduces the “Key Opinion Leader (KOL)...
Publish Date: 2025-03-09T10:14:08Z
Currencies: None",2025-03-09,None,N/A,"Arkham Intelligence has unveiled a new feature allowing users to track the wallets of Key Opinion Leaders KOLs on X formerly Twitter. This development comes amid a flurry of new meme coins, capitalizing on token launchpads for easy launches. New Arkham Feature Lets Users Track Influencers Token Holdings The update, announced in a recent post, introduces the Key Opinion Leader KOL... Publish Date 20250309T101408Z Currencies None",ae6865a878b483c608bfcea38e4015e5
Can Cardano surge to $10? Key levels to watch out for,"Cardano is at a pivotal moment, with analysts speculating a potential surge to $10.
Publish Date: 2025-03-09T10:00:50Z
Currencies: None",2025-03-09,None,N/A,"Cardano is at a pivotal moment, with analysts speculating a potential surge to 10. Publish Date 20250309T100050Z Currencies None",1ead474a92290a860fc289ff544ecadf
Altcoins crash harder than Bitcoin – When will the rebound start?,"Is this the right time to buy the dip?
Publish Date: 2025-03-09T09:00:46Z
Currencies: BTC, $1",2025-03-09,"BTC, $1",N/A,"Is this the right time to buy the dip? Publish Date 20250309T090046Z Currencies BTC, 1",551e5917463dcbff4717008ba1bc7f0a
"Bitcoin (BTC) Consolidates at $86K, Pi Network (PI) Plummets by 12% (Weekend Watch)","Publish Date: 2025-03-09T09:00:16Z
Currencies: None",2025-03-09,None,N/A,Publish Date 20250309T090016Z Currencies None,0fc90633977c7b234a23aa41153df2a2
RedStone Review: A Modular Oracle for a Multi-Chain Ecosystem,"Oracles play a fundamental role in the blockchain ecosystem, providing highly valuable external data to smart contracts. However, current solutions have serious limitations in terms of scalability, update speed, and compatibility with multiple networks. RedStone was created as a modular alternative that optimizes data delivery to both EVM and non-EVM blockchains, overcoming these limitations...
Publish Date: 2025-03-09T09:00:00Z
Currencies: DEFI",2025-03-09,DEFI,N/A,"Oracles play a fundamental role in the blockchain ecosystem, providing highly valuable external data to smart contracts. However, current solutions have serious limitations in terms of scalability, update speed, and compatibility with multiple networks. RedStone was created as a modular alternative that optimizes data delivery to both EVM and nonEVM blockchains, overcoming these limitations... Publish Date 20250309T090000Z Currencies DEFI",32cdbd65b30a6f10e4589dbfe9d535a3
Best Crypto to Buy After Top Analyst Says US Bitcoin Reserve Could Increase Crypto Adoption,"Ryan Rasmussen, head of research at Bitwise Asset Management, believes that a strategic Bitcoin reserve could be a fundamental move in the accelerated global adoption of the digital asset. It will increase Bitcoin’s legitimacy and remove fears of government retaliation. Trump, on March 6, signed an order to put into motion the formation of a Bitcoin reserve consisting of assets forfeited in...
Publish Date: 2025-03-09T08:34:47Z
Currencies: None",2025-03-09,None,N/A,"Ryan Rasmussen, head of research at Bitwise Asset Management, believes that a strategic Bitcoin reserve could be a fundamental move in the accelerated global adoption of the digital asset. It will increase Bitcoins legitimacy and remove fears of government retaliation. Trump, on March 6, signed an order to put into motion the formation of a Bitcoin reserve consisting of assets forfeited in... Publish Date 20250309T083447Z Currencies None",4be68506347df9b27a58fb86c565dc58
