total_supply,name,tvl_ratio,cmc_rank,quote_USD_market_cap,quote_USD_volume_change_24h,quote_USD_percent_change_60d,quote_USD_percent_change_1h,symbol,quote_USD_fully_diluted_market_cap,quote_USD_last_updated,is_active,quote_USD_percent_change_24h,quote_USD_market_cap_dominance,quote_USD_tvl,id,slug,self_reported_market_cap,num_market_pairs,infinite_supply,quote_USD_volume_24h,date_added,last_updated,tags,quote_USD_percent_change_7d,max_supply,circulating_supply,quote_USD_price,quote_USD_percent_change_90d,self_reported_circulating_supply,quote_USD_percent_change_30d,is_fiat,platform
19826156,Bitcoin,,1,1890745868078.4822,24.1911,-1.6889488,0.3057792,BTC,2002690951773.41,2025-02-18T22:31:00.000Z,1,-0.81207614,60.4742,,1,bitcoin,,11946,False,36429748257.90421,2010-07-13T00:00:00.000Z,2025-02-18T22:31:00.000Z,"{'slug': 'mineable', 'name': 'Mineable', 'category': 'OTHERS'}; {'slug': 'pow', 'name': 'PoW', 'category': 'ALGORITHM'}; {'slug': 'sha-256', 'name': 'SHA-256', 'category': 'ALGORITHM'}; {'slug': 'store-of-value', 'name': 'Store Of Value', 'category': 'CATEGORY'}; {'slug': 'state-channel', 'name': 'State Channel', 'category': 'CATEGORY'}; {'slug': 'coinbase-ventures-portfolio', 'name': 'Coinbase Ventures Portfolio', 'category': 'CATEGORY'}; {'slug': 'three-arrows-capital-portfolio', 'name': 'Three Arrows Capital Portfolio', 'category': 'CATEGORY'}; {'slug': 'polychain-capital-portfolio', 'name': 'Polychain Capital Portfolio', 'category': 'CATEGORY'}; {'slug': 'binance-labs-portfolio', 'name': 'Binance Labs Portfolio', 'category': 'CATEGORY'}; {'slug': 'blockchain-capital-portfolio', 'name': 'Blockchain Capital Portfolio', 'category': 'CATEGORY'}; {'slug': 'boostvc-portfolio', 'name': 'BoostVC Portfolio', 'category': 'CATEGORY'}; {'slug': 'cms-holdings-portfolio', 'name': 'CMS Holdings Portfolio', 'category': 'CATEGORY'}; {'slug': 'dcg-portfolio', 'name': 'DCG Portfolio', 'category': 'CATEGORY'}; {'slug': 'dragonfly-capital-portfolio', 'name': 'DragonFly Capital Portfolio', 'category': 'CATEGORY'}; {'slug': 'electric-capital-portfolio', 'name': 'Electric Capital Portfolio', 'category': 'CATEGORY'}; {'slug': 'fabric-ventures-portfolio', 'name': 'Fabric Ventures Portfolio', 'category': 'CATEGORY'}; {'slug': 'framework-ventures-portfolio', 'name': 'Framework Ventures Portfolio', 'category': 'CATEGORY'}; {'slug': 'galaxy-digital-portfolio', 'name': 'Galaxy Digital Portfolio', 'category': 'CATEGORY'}; {'slug': 'huobi-capital-portfolio', 'name': 'Huobi Capital Portfolio', 'category': 'CATEGORY'}; {'slug': 'alameda-research-portfolio', 'name': 'Alameda Research Portfolio', 'category': 'CATEGORY'}; {'slug': 'a16z-portfolio', 'name': 'a16z Portfolio', 'category': 'CATEGORY'}; {'slug': '1confirmation-portfolio', 'name': '1Confirmation Portfolio', 'category': 'CATEGORY'}; {'slug': 'winklevoss-capital-portfolio', 'name': 'Winklevoss Capital Portfolio', 'category': 'CATEGORY'}; {'slug': 'usv-portfolio', 'name': 'USV Portfolio', 'category': 'CATEGORY'}; {'slug': 'placeholder-ventures-portfolio', 'name': 'Placeholder Ventures Portfolio', 'category': 'CATEGORY'}; {'slug': 'pantera-capital-portfolio', 'name': 'Pantera Capital Portfolio', 'category': 'CATEGORY'}; {'slug': 'multicoin-capital-portfolio', 'name': 'Multicoin Capital Portfolio', 'category': 'CATEGORY'}; {'slug': 'paradigm-portfolio', 'name': 'Paradigm Portfolio', 'category': 'CATEGORY'}; {'slug': 'bitcoin-ecosystem', 'name': 'Bitcoin Ecosystem', 'category': 'PLATFORM'}; {'slug': 'ftx-bankruptcy-estate', 'name': 'FTX Bankruptcy Estate ', 'category': 'CATEGORY'}; {'slug': '2017-2018-alt-season', 'name': '2017/18 Alt season', 'category': 'CATEGORY'}",-0.85300224,21000000,19826156,95366.23579873386,1.34618133,,-8.14813332,0,
84000000,Litecoin,,13,9763813009.923716,16.7813,27.93480035,0.57141629,LTC,10856279504.81,2025-02-18T22:31:00.000Z,1,3.87093029,0.3123,,2,litecoin,,1315,False,1307531768.3054733,2013-04-28T00:00:00.000Z,2025-02-18T22:31:00.000Z,"{'slug': 'mineable', 'name': 'Mineable', 'category': 'OTHERS'}; {'slug': 'pow', 'name': 'PoW', 'category': 'ALGORITHM'}; {'slug': 'scrypt', 'name': 'Scrypt', 'category': 'ALGORITHM'}; {'slug': 'medium-of-exchange', 'name': 'Medium of Exchange', 'category': 'INDUSTRY'}; {'slug': 'heco-ecosystem', 'name': 'HECO Ecosystem', 'category': 'PLATFORM'}; {'slug': 'layer-1', 'name': 'Layer 1', 'category': 'CATEGORY'}; {'slug': '2017-2018-alt-season', 'name': '2017/18 Alt season', 'category': 'CATEGORY'}; {'slug': 'hoo-smart-chain-ecosystem', 'name': 'Hoo Smart Chain Ecosystem', 'category': 'PLATFORM'}; {'slug': 'made-in-america', 'name': 'Made in America', 'category': 'CATEGORY'}",6.69241191,84000000,75547087.0540892,129.24142267633894,52.93086655,,8.68513633,0,
14736400,Namecoin,,951,15065194.227733063,-43.0217,4.18119066,0.19340418,NMC,15065194.23,2025-02-18T22:31:00.000Z,1,-0.0860892,0,,3,namecoin,,7,False,4628.34052269,2013-04-28T00:00:00.000Z,2025-02-18T22:31:00.000Z,"{'slug': 'mineable', 'name': 'Mineable', 'category': 'OTHERS'}; {'slug': 'pow', 'name': 'PoW', 'category': 'ALGORITHM'}; {'slug': 'sha-256', 'name': 'SHA-256', 'category': 'ALGORITHM'}; {'slug': 'platform', 'name': 'Platform', 'category': 'CATEGORY'}",0.26914652,,14736400,1.0223117062330733,30.56802707,,0.02997748,0,
34595481.14956619,Terracoin,,5686,0,-0.0683,-64.12354838,0.2565511,TRC,760801.45,2025-02-18T22:31:00.000Z,1,-0.87035891,0,,4,terracoin,626674.8484376448,7,False,3950.44947895,2013-04-28T00:00:00.000Z,2025-02-18T22:31:00.000Z,"{'slug': 'mineable', 'name': 'Mineable', 'category': 'OTHERS'}; {'slug': 'pow', 'name': 'PoW', 'category': 'ALGORITHM'}; {'slug': 'sha-256', 'name': 'SHA-256', 'category': 'ALGORITHM'}; {'slug': 'masternodes', 'name': 'Masternodes', 'category': 'CATEGORY'}",17.65741616,42000000,0,0.018114320278181308,-66.20563817,34595548.64956619,-27.35847387,0,
29407707.14721135,Peercoin,,980,13691936.219640166,36.6646,4.71041562,-0.00301087,PPC,13691936.22,2025-02-18T22:31:00.000Z,1,1.03661329,0.0004,,5,peercoin,,42,False,81700.60482152,2013-04-28T00:00:00.000Z,2025-02-18T22:31:00.000Z,"{'slug': 'mineable', 'name': 'Mineable', 'category': 'OTHERS'}; {'slug': 'hybrid-pow-pos', 'name': 'Hybrid - PoW & PoS', 'category': 'ALGORITHM'}; {'slug': 'sha-256', 'name': 'SHA-256', 'category': 'ALGORITHM'}; {'slug': 'medium-of-exchange', 'name': 'Medium of Exchange', 'category': 'INDUSTRY'}; {'slug': 'store-of-value', 'name': 'Store Of Value', 'category': 'CATEGORY'}; {'slug': 'payments', 'name': 'Payments', 'category': 'INDUSTRY'}; {'slug': 'staking', 'name': 'Staking', 'category': 'CATEGORY'}; {'slug': 'ethereum-ecosystem', 'name': 'Ethereum Ecosystem', 'category': 'PLATFORM'}; {'slug': 'polygon-ecosystem', 'name': 'Polygon Ecosystem', 'category': 'PLATFORM'}",9.4694227,,29407707.14721135,0.465590062873655,22.68512146,,-0.58972675,0,
4526390.522174,Novacoin,,7897,0,5616.7694,-11.63063495,0.2565511,NVC,116515.64,2025-02-18T22:31:00.000Z,1,-23.52856259,0,,6,novacoin,126727.5047311557,4,False,55.90171732,2013-04-28T00:00:00.000Z,2025-02-18T22:31:00.000Z,"{'slug': 'mineable', 'name': 'Mineable', 'category': 'OTHERS'}; {'slug': 'hybrid-pow-pos', 'name': 'Hybrid - PoW & PoS', 'category': 'ALGORITHM'}; {'slug': 'scrypt', 'name': 'Scrypt', 'category': 'ALGORITHM'}; {'slug': 'bnb-chain-ecosystem', 'name': 'BNB Chain Ecosystem', 'category': 'PLATFORM'}",-10.82806354,,0,0.025741402500573437,-33.48323254,4923100.236218,-14.57040121,0,
336000000,Feathercoin,,1870,1353427.10179766,231.0314,-26.35886246,0.2565511,FTC,1922024.72,2025-02-18T22:31:00.000Z,1,-0.87035891,0,,8,feathercoin,,12,False,88.95245036,2013-05-03T00:00:00.000Z,2025-02-18T22:31:00.000Z,"{'slug': 'mineable', 'name': 'Mineable', 'category': 'OTHERS'}; {'slug': 'pow', 'name': 'PoW', 'category': 'ALGORITHM'}; {'slug': 'neoscrypt', 'name': 'NeoScrypt', 'category': 'ALGORITHM'}; {'slug': 'medium-of-exchange', 'name': 'Medium of Exchange', 'category': 'INDUSTRY'}; {'slug': 'collectibles-nfts', 'name': 'Collectibles & NFTs', 'category': 'CATEGORY'}; {'slug': 'payments', 'name': 'Payments', 'category': 'INDUSTRY'}",18.89591528,336000000,236600238,0.005720311666794097,-59.59722273,,-21.3505281,0,
100000000,Freicoin,,7619,0,5685.9718,96.37636678,0.2565511,FRC,2097447.61,2025-02-18T22:31:00.000Z,1,-0.87035891,0,,10,freicoin,,1,False,104.86756735,2013-05-03T00:00:00.000Z,2025-02-18T22:31:00.000Z,"{'slug': 'mineable', 'name': 'Mineable', 'category': 'OTHERS'}; {'slug': 'pow', 'name': 'PoW', 'category': 'ALGORITHM'}; {'slug': 'sha-256', 'name': 'SHA-256', 'category': 'ALGORITHM'}",45.31722978,,0,0.020974476111578357,-25.92824167,,-19.25320885,0,
21426172.329,Ixcoin,,9338,0,0,64.69375052,0,IXC,1987279.36,2025-02-18T22:31:00.000Z,1,0,0,,13,ixcoin,,2,False,0,2013-05-08T00:00:00.000Z,2025-02-18T22:31:00.000Z,"{'slug': 'pow', 'name': 'PoW', 'category': 'ALGORITHM'}; {'slug': 'sha-256', 'name': 'SHA-256', 'category': 'ALGORITHM'}",1.4630636,,0,0.09275008781063417,301.40492933,,8.84033726,0,
265000000,WorldCoin WDC,,6795,0,8868.7098,9.99909381,-0.00707312,WDC,1456653.94,2025-02-18T22:31:00.000Z,1,34.00893652,0,,16,worldcoin,772192.8524282752,6,False,484.32251865,2013-05-22T00:00:00.000Z,2025-02-18T22:31:00.000Z,"{'slug': 'mineable', 'name': 'Mineable', 'category': 'OTHERS'}; {'slug': 'pow', 'name': 'PoW', 'category': 'ALGORITHM'}; {'slug': 'scrypt', 'name': 'Scrypt', 'category': 'ALGORITHM'}",52.66906591,,0,0.005496807337107509,9667.57354374,140480247,0.06913518,0,
