id,symbol,name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,97781.0,1942716505416,1,1942719935467,49896178474.0,98098.0,94120.0,1958.9,2.0443,44123239556.0,2.324,19823346.0,19823381.0,21000000.0,108786.0,-9.89036,2025-01-20T09:11:54.494Z,67.81,144462.30123,2013-07-06T00:00:00.000Z,,2025-02-12T22:46:25.542Z
ethereum,eth,Ethereum,2765.4,334591411004,2,334591411004,24003735259.0,2782.27,2565.92,157.35,6.03309,20257632728.0,6.44462,120543070.6736782,120543070.6736782,,4878.26,-43.00585,2021-11-10T14:24:19.604Z,0.432979,642038.32244,2015-10-20T00:00:00.000Z,"{'times': 36.79377565795439, 'currency': 'btc', 'percentage': 3679.3775657954393}",2025-02-12T22:46:27.157Z
ripple,xrp,XRP,2.48,143481543884,3,248365405217,4822053983.0,2.49,2.36,0.050957,2.09837,3556254140.0,2.54154,57762545657.0,99986504676.0,100000000000.0,3.4,-26.84901,2018-01-07T00:00:00.000Z,0.00268621,92446.85051,2014-05-22T00:00:00.000Z,,2025-02-12T22:46:24.178Z
tether,usdt,Tether,0.999995,141952534193,4,141952534193,46327356558.0,1.0,0.999643,0.00015608,0.01561,96366394.0,0.06793,141953250507.8432,141953250507.8432,,1.32,-24.41645,2018-07-24T00:00:00.000Z,0.572521,74.67348,2015-03-02T00:00:00.000Z,,2025-02-12T22:46:27.904Z
binancecoin,bnb,BNB,700.95,102259685465,5,102259685465,2390417337.0,703.18,627.79,58.58,9.1198,8578463228.0,9.15708,145887575.79,145887575.79,200000000.0,788.84,-10.86365,2024-12-04T10:35:25.220Z,0.0398177,1765814.27166,2017-10-19T00:00:00.000Z,,2025-02-12T22:46:24.704Z
solana,sol,Solana,197.25,96776912844,6,117740458809,4912896612.0,198.34,190.01,-0.9526327441693354,-0.48063,239646120.0,0.24824,488177881.5117716,593925617.8001201,,293.31,-32.42519,2025-01-19T11:15:27.957Z,0.500801,39477.58375,2020-05-11T19:35:23.449Z,,2025-02-12T22:46:25.738Z
usd-coin,usdc,USDC,0.999902,56066118745,7,56066442473,5831698157.0,1.0,0.999848,1.71e-06,0.00017,-34332760.12573242,-0.0612,56071595009.84862,56071918768.62053,,1.17,-14.7327,2019-05-08T00:40:28.300Z,0.877647,13.93365,2023-03-11T08:02:13.981Z,,2025-02-12T22:46:28.492Z
dogecoin,doge,Dogecoin,0.265553,39373544361,8,39387394562,1876049736.0,0.266692,0.249699,0.01152428,4.5366,1859408547.0,4.95655,147968466383.7052,148020516383.7051,,0.731578,-63.56956,2021-05-08T05:08:23.458Z,8.69e-05,306580.79828,2015-05-06T00:00:00.000Z,,2025-02-12T22:46:26.782Z
cardano,ada,Cardano,0.8014,28784873121,9,36063098619,1203448596.0,0.805788,0.755641,0.01743807,2.22435,654676159.0,2.32731,35918136268.48197,45000000000.0,45000000000.0,3.09,-73.89929,2021-09-02T06:00:10.474Z,0.01925275,4084.88638,2020-03-13T02:22:55.044Z,,2025-02-12T22:46:30.616Z
staked-ether,steth,Lido Staked Ether,2768.08,26085889543,10,26086357468,161339028.0,2781.03,2565.99,157.77,6.04396,1573572790.0,6.41952,9395077.099640153,9395245.627119929,,4829.57,-42.42691,2021-11-10T14:40:47.256Z,482.9,475.80344,2020-12-22T04:08:21.854Z,,2025-02-12T22:46:24.818Z
